ID,Town_Name_EN,Town_Name_CN,District_EN,District_CN,Category,Year,Lat,Long 
129,Pekan Kinrara,金鑾,Petaling,八打靈縣,鎮,,3.048914,101.65003
130,Pekan Baru Hicom,新多元重工業鎮,Petaling,八打靈縣,鎮,,3.036361,101.5478219
131,Pekan Baru Sungai Besi,新街場新區,Petaling,八打靈縣,鎮,,,
132,Pekan Baru Sungai Buloh,雙溪毛糯新鎮,Petaling,八打靈縣,鎮,,3.210625,101.567742
133,Puchong Jaya,蒲種再也,Petaling,八打靈縣,鎮,,3.054586,101.619958
134,Pekan Penaga,本那牙鎮,Petaling,八打靈縣,鎮,,,
135,Puchong Perdana,蒲種柏蘭嶺,Petaling,八打靈縣,鎮,,3.00545,101.599894
136,Subang,梳邦,Petaling,八打靈縣,鎮,,3.135267,101.542077
137,Subang Jaya,梳邦再也 ,Petaling,八打靈縣,鎮,,3.049478,101.584528
138,Pekan Bagan Terap,峇眼德臘,Sabak Bernam,沙白安南縣,鎮,,3.746667,101.059728
139,Pekan Parit Enam,六條溝,Sabak Bernam,沙白安南縣,鎮,,3.72372,101.004968
140,Pekan Parit Sembilan,九條溝,Sabak Bernam,沙白安南縣,鎮,,,
141,Sekinchan,適耕莊,Sabak Bernam,沙白安南縣,鎮,,3.5041,101.1033
142,Pekan Simpang Lima,新邦利馬,Sabak Bernam,沙白安南縣,鎮,,,
143,Sabak,沙白鎮,Sabak Bernam,沙白安南縣,鎮,,3.7696,100.9837
144,Sungai Air Tawar,雙溪僑華,Sabak Bernam,沙白安南縣,鎮,,3.7756,100.8821
145,Pekan Sungai Sepintas,雙溪瑟賓達,Sabak Bernam,沙白安南縣,鎮,,,
146,Bagan Nakhoda Omar,烏暹,Sabak Bernam,沙白安南縣,鎮,,3.7758405,100.9128995
147,Parit Baru,新溝,Sabak Bernam,沙白安南縣,鎮,,3.827761,100.8512921
148,Pasir Panjang,巴西班讓,Sabak Bernam,沙白安南縣,鎮,,2.437702,101.937694
149,Pekan Sekinchan Site A,適耕莊A村,Sabak Bernam,沙白安南縣,鎮,,3.505749,101.108339
150,Sungai Besar,大港,Sabak Bernam,沙白安南縣,鎮,,3.6754,100.9858
151,Pekan Sungai Haji Dorani,雙溪哈芝杜拉尼,Sabak Bernam,沙白安南縣,鎮,,3.632103,101.035329
152,Pekan Sungai Nibong,雙溪尼蒙,Sabak Bernam,沙白安南縣,鎮,,3.597181,101.064532
153,Pekan Air Manis,阿逸馬尼斯,Sabak Bernam,沙白安南縣,鎮,,,
154,Sepang,雪邦,Sepang,雪邦縣,市,,2.6914,101.7505
155,Bandar Baru Bangi,萬宜新鎮,Sepang,雪邦縣,市,,2.960877,101.75799
156,Bandar Baru Salak Tinggi,沙叻丁宜,Sepang,雪邦縣,市,,2.7968,101.7424
157,KLIA,吉隆坡國際機場,Sepang,雪邦縣,市,,2.755584,101.708061
158,Sungai Merab,雙溪美拉,Sepang,雪邦縣,市,,2.935966,101.75011
159,Cyberjaya,賽城,Sepang,雪邦縣,市,,2.9213,101.6559
160,Dengkil,龍溪,Sepang,雪邦縣,鎮,,2.866483,101.680027
161,Pekan Salak,沙叻新村,Sepang,雪邦縣,鎮,,2.783742,101.75026
162,Sungai Pelek,雙溪比力,Sepang,雪邦縣,鎮,<1910,2.6416,101.7148
163,Pekan Batu 1,雪邦一支港,Sepang,雪邦縣,鎮,,,
164,Pekan Bukit Bisa,,Sepang,雪邦縣,鎮,,2.967523,101.703021
165,Pekan Dato' Bakar Baginda,,Sepang,雪邦縣,鎮,,2.956069,101.73753
166,Pekan Bandar Salak Tinggi,沙叻丁宜,Sepang,雪邦縣,鎮,,2.7968,101.7424
167,Pekan Sungai Merab,雙溪美拉,Sepang,雪邦縣,鎮,,2.935795,101.749766
168,Pekan Tanjung Mas,丹戎馬士,Sepang,雪邦縣,鎮,,,
169,,,Sepang,雪邦縣,,,,
170,Batu Caves ,黑风洞、峇都喼,Sepang,雪邦縣,,1860,3.2379,101.684
171,Broga,武來岸,Sepang,雪邦縣,,1850,2.9367,101.9111
172,Lagong,拉貢,Sepang,雪邦縣,,,3.2585,101.6394
173,Padang JAwa,巴當爪哇,Sepang,雪邦縣,,<1880,3.0491,101.49
174,Sungai Buaya,雪蘭莪雙溪峇也,Sepang,雪邦縣,,,3.3745,101.5327
175,Sungai Burong,雙武隆,Sepang,雪邦縣,,,3.4607,101.1348
176,Sungai Choh,雙溪槽,Sepang,雪邦縣,,,3.3435,101.5874
177,Sungai Pelong,,Sepang,雪邦縣,,1916,3.2268,101.5345
178,Sungai Tengi,,Sepang,雪邦縣,,,3.6476,101.4166
179,Taman Melawati,,Sepang,雪邦縣,,,3.2126,101.7471
180,Taman Tasik Semenyih,,Sepang,雪邦縣,,,2.947,101.865
181,Teluk Datok,,Sepang,雪邦縣,,,2.819,101.5205
182,Ulu Yam,,Sepang,雪邦縣,,,3.425,101.6597
183,Ulu Klang,,Sepang,雪邦縣,,,3.1721,101.7593
