Name_CH,Name_ML,Name_EN,Location,Region,Category,PageNumber,Country,latitude,longitude
吉玻四美堂庄氏宗祠,Pertubuhan Soo Bee Tong Ch' ng Si Chong Soo Kedah Dan Perlis(1992),,"111 Jalan Pekan Melayu, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.1172796,100.3650621
吉玻孙氏宗祠,Persatuan Suku Kaum Soon Shi Zong Ci Kedah/Perlis,Indera Kayangan,"99 Jalan Kundor, 05400 Alor Setar, Kedah. ",Kedah,血缘,44,Malaysia,6.093843,100.3673455
吉玻梁氏宗亲会,"Persatuan Kebajikan Liang Kedah / Perlis,",,"2536 Tingkat 1, Kompleks Pumpang, Pekan Pumpong, 05250 Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.1357614,100.36952
吉玻陇西堂,Persatuan Leong Say Tong Kedah/Perlis,,"6 Lorong Suka Ramai, Bakar Bata, 05100 Alor Star, Kedah.",Kedah,血缘,44,Malaysia,6.137781,100.3703394
亚罗士打滂滂校友会,"Persatuan Bekas Pelajar SJK (C) Pumpong
Sekolah Jenis Kebangsaan (C) Pumpong",,"Jalan Bakar Bata, 05250 Alor Star, Kedah.",Kedah,文教,50,Malaysia,6.137681,100.3703394
吉玻龙山堂曾氏公会,Persatuan Loong Sun Tong Kedah/Perlis,,"192 Batu 5, Taman Bersatu Simpang Empat, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.043171,100.38073
吉玻苏许连宗祠,Persatuan Saw Khaw Lean Kedah / Perlis,,"88, Batu 6, Simpang Empat, 06650 Alor Star, Kedah.",Kedah,血缘,44,Malaysia,6.02434,100.3832921
吉玻缝业公会,Persatuan Tukang-Tukang Jahit Negeri Kedah /Perlis,,"82, Seberang Jalan Putra 05150 Alor Setar, Kedah.",Kedah,业缘,45,Malaysia,6.128659,100.3503911
吉玻机械及车辆零件商会,,Kedah Perlis Spare Parts Dealers Association,"25, 1st Floor, Seberang Jalan Putra, 05150 Alor Star, Kedah.",Kedah,业缘,46,Malaysia,6.128640174,100.3504302
吉打华巫米较公会,Persatuan Pengilang-Pengilang Beras Cina Melayu Kedah.,,"121-A&B, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.128597874,100.3504398
吉打鱼商公会,,Kedah Fish Merchants Association,"37-R, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia,6.128563952,100.3504128
吉打州拖车及修车公会,Persatuan Pemilik Kereta Penunda Dan Membaiki,,"4A, Baru 2, Seberang Jalan Putra Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia,6.128563952,100.3503694
吉打斗母宫九皇大帝庙,Persatuan Penganut Tow Boo Keong Kiu Ong Tai Tay Kedah,,"Lot 1124 Jalan Bangsa, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,宗教,51,Malaysia,6.128597874,100.3503424
吉打州业余排球总会,Persatuan Bola Tampar Amatur Kedah,Kedah Amateur Volleyball Association,"37-R, Seberang Jalan Putera l, 05150 Alor Setar, Kedah.",Kedah,体育联谊,56,Malaysia,6.128640174,100.350352
吉玻郑氏英阳堂,"Persatuan The Si Eng Eong Tong Kedah, Perak",,"33,  Jalan Biru 2, Kg Berjaya Sag Jalan Putra, 05150 A/S Kedah.",Kedah,血缘,45,Malaysia,6.1246006,100.3559783
吉玻电单车汽车商暨银业公会,Persatuan Peniaga Kenderaan Bermotor / Kereta Terpakai Dan Kewangan,,"307, Jalan Tengah, Off Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,业缘,45,Malaysia,6.1251562,100.3624267
吉打九龙堂林姓公会,Persatuan Um Kew Leong Tong Kedah Darul Aman  ,Lim Association Kew Leong Tong,"4-A, Kampong Perak, 05100 Alor Setar, Kedah.",Kedah,血缘,45,Malaysia,6.121473,100.363888
吉打嘉和俱乐部,Kelab Rekrasi Kah Who Kedah,,"73-B, Tingkat 2, Komplek Jalan Nagor, 05000 Alor Star, Kedah.",Kedah,血缘,45,Malaysia,6.1169904,100.3680364
吉打华人生果同业公会,,Kedah Chinese Furniture Association,"72-B, Jalan Nagor, 05000 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.1168904,100.3680364
吉玻陈氏颖川堂,Tan Si Eng Chuan Tong Kedah Perlis,,"666-B, Lorong Tangki Limbong Kapal, 05000 Alor Star, Kedah.",Kedah,血缘,45,Malaysia,6.1122861,100.367487
吉北华人摩多工人公会,,North Kedah Chinese Motor Workers Association,"8 Jalan Kanchut, Alor Setar, Kedah.",Kedah,业缘,45,Malaysia,6.132848,100.3683421
吉中李氏宗亲会,Pertubuhan Lee Sih Chong Soo Kedah Tengah,,"5, Hadapan Sek. Men. Che Tom, Jalan Bakar Arang, 08000 Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia,5.6233449,100.478342
吉中林氏宗祠,Persatuan Um See Chong Soo,,"5-G Jalan Kampong Baru 08000, Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia,5.6379144,100.4884533
吉中佛教会,Persatuan Buddhist Kedah Tengah,Central Kedah Buddhist Association,"5-F, Jalan Kampung Baru, 08000 Sungai Petani, Kedah.",Kedah,宗教,53,Malaysia,5.6378144,100.4884533
吉中忠顺世家,Tiong Soon See Kah Kedah Tengah,,"739-B, Jalan Bakar Sampah, 08000 Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia,5.6365346,100.4990311
吉打鹤翔庄气功协会,Persatuan Hexiang Zhuang Qigong Kedah,,"739-B, Jalan Bakar Sampah,  08000 Sungai Petani, Kedah.",Kedah,体育联谊,55,Malaysia,5.6364346,100.4990311
吉打华商咖啡公会,Persatuan Kedai-Kedai Kopi China Kedah,Kedah Chinese Shopkeepers Association,"169 E & F, Jalan Putra 05100 Alor Star, Kedah.",Kedah,业缘,46,Malaysia,6.1268721,100.3537412
吉玻汽车修理工商公会,,Persatuan Auto Mobil Workshop Kedah / Perlis,"212 C, Medan Putra, Sbg Jalan Putra, 05150 Alor Setar Kedah.",Kedah,业缘,46,Malaysia,6.1267721,100.3537412
吉打屠业公会,,Persatuan Peniaga Dan Penyembelih Babi Kedah,"20-A, Taman Berjaya, Jalan Pengawal, 05050 Alor Star, Kedah.",Kedah,业缘,46,Malaysia,6.102805,100.3543042
吉北业余排球公会,Persatuan Bola Tampar Amatur Kedah Utara,North Kedah Amateur Volleyball Association,"211-A, Taman Berjaya, 05050 Alor Star, Kedah.",Kedah,体育联谊,57,Malaysia,6.102705,100.3543042
吉打菜业公会,Persatuan Peniaga-Peniaga Sayur Negeri Kedah,,"S15 Pasar Pemborong Sayur Syarikat Saudagar-Saudagar Ikan (K) Sdn. Bhd. Sbg, Jalan Putra, Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.1273853,100.3590375
吉打什货商公会,Persatuan Peniaga Am Kedah,Kedah General Merchants' Association,"2190, 1st Floor, Lorong Kemuning Seberang Perak, 05400 Alor Star, Kedah.",Kedah,业缘,46,Malaysia,6.11448,100.3611063
吉玻金钻珠宝公会,Persatuan Perniagaan Emas Dan Permata Kedah / Perlis,,"2203-K Tingkat Satu, Seberang Perak, 05050 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.1142862,100.3612779
吉玻米较公会,Persatuan Pengilang-Pengilang Beras,Kedah & Perlis Kedah & Perlis Rice Millers Association,"400 (2nd) Floor, Jalan Pintu Sepuluh, 05000 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.1246685,100.3643907
吉北艺术协会,Persatuan Kesenian Kedah Utara,North Kedah Art Association,"501-A, 1st Floor, Jalan Pintu 10, 05100 Alor Star, Kedah.",Kedah,体育联谊,55,Malaysia,6.1245685,100.3643907
吉玻摄影公会,,The Kedah Perlis Photo Graphers Association,"A-17, Jalan Saga Ria, Taman Saga, 05400 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia,6.092517,100.380731
吉玻家电商公会,Persatuan Peniaga Alat-Alat Elektrikal Dometik Kedah / Perlis,,"186, Tingkat 2, Shahab Perdana, Jalan Shahab Perdana 5, Jalan Sultanah Sembungan, 05350 Alor Star, Kedah.",Kedah,业缘,46,Malaysia,6.1400601,100.3885712
吉打州修车公会,Persatuan Pemilik Bengkel Kenderaan Negeri Kedah,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia,6.1237345,100.3571593
吉打州枝职文凭公会,Persatuan Pemilik Sijil Kemahiran Malaysia Negeri Keda,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia,6.1236345,100.3571593
吉打州家私同业公会,Persatuan Pembuat-Pembuat Dan Peniaga-Peniaga Perabot Negeri Kedah,,"228 &229 (Tingkat Atas), Kawasan Perusahaan Tandop Baru, 05050 Alor Star, Kedah.",Kedah,业缘,47,Malaysia,6.0811629,100.3617197
吉打州米商公会,Pertubuhan Peniaga-Peniaga Bekas Negeri Kedah,,"46-A, Kompleks Sukan Muazam Shah, Lebuhraya Sulfan Abdul Halim, 05400 Alor Star, Kedah.",Kedah,业缘,47,Malaysia,6.108518,100.364369
吉打中华工商总会,Dewan Peniangaan Dan Perindustrian Tiong Hua,Kedah Chinese Chamber Of Commerce Industry,"749, 1st Floor, Lebuhraya Darul Aman, 05100 Alor Star, Kedah.",Kedah,业缘,47,Malaysia,6.1302589,100.3680132
吉中咖啡公会,Persatuan Pemilik Kedai Kopi Kedah Tengah ,Central Kedah Coffee Shop Owners' Association,"6, Jalan Petri, 08000 Sungai Petani, Kedah.",Kedah,业缘,47,Malaysia,5.6400474,100.4861749
吉打州柴炭商公会,Persatuan Peniagaan Kayu Api & Arang Negeri Kedah,,"13-C Taman Aman Kg. Baru, 08000 Sungai Petani, Johor.",Kedah,业缘,47,Malaysia,5.635228,100.479776
吉中小贩商业公会,Persatuan Panjaja-Panjaja Kedah Tengah,,"55-N, Jalan Sekarat 08000 Sungai Petani, Kedah.",Kedah,业缘,47,Malaysia,5.636401,100.4877883
吉州学生车公会,Persatuan Operator Bas Bas Sekolah Negeri Kedah,,"2500(Tingkat1) Kompleks Tunku Yaacob, Jalan Lebuhraya Darulaman, 05100 Alor Star, Kedah.",Kedah,业缘,48,Malaysia,6.1396618,100.3704683
吉玻日间师训同学会,Persatuan Guru-Guru Lepasan DTC Kedah Perlis,,"180, Taman Sri Ampang, Jalan Kenanga 11 05050 Alor Star, Kedah.",Kedah,文教,48,Malaysia,6.1071718,100.3390124
亚罗士打建造业,Kin Cho Hong Alor Setar,,"3, Jalan Tunku Abdul Rahman Putra, (Jalan Putra), 05100 Alor Star, Kedah.",Kedah,业缘,48,Malaysia,6.123038,100.3602481
