Name_CH,Name_ML,Name_EN,Location,Region,Category,PageNumber,Country
玻璃市加央真空教原南坛,Guan Nam Tuagh Chinese Temple,,"125, Jalan Jubli Emas, Kangar, Perlis.",Perlis,宗教,38,Malaysia
玻璃市华校教师会,Persatuan Guru-Guru Sekolah Cina Perlis,The Perlis Chinese School Teachers Association,"SJK(C) Kok Aik, 02500 Mata Ayer, Perlis.",Perlis,文教,38,Malaysia
玻州亚娄庆安宫,Persatuan Penganut Dewa Kheng Aun Keong,,"C-16, Jalan Syed Hussein, 02600 Arau, Perlis.",Perlis,宗教,38,Malaysia
华益学校校友会,Persatuan Murid-Murid Tua Hwa Aik,,"Sekolah Hwa Aik, Arauz Perlis.",Perlis,文教,38,Malaysia
玻州菩提佛教会,PersatuanBodhi Buddhist Perlis,Perlis Bodhi Buddhist Association,"8, Jalan Taman Sri lntan, 02600 Arauz Perlis.",Perlis,宗教,38,Malaysia
玻中校友会,Persatuan Murid-Murid Tua SMJK Perlis,,"2, Jalan Masjid, 02100 Padang Besar, Perlis.",Perlis,文教,38,Malaysia
加基武吉佛教会,,Pertubuhan Buddhis Kaki Bukit,"PT 1794, Pekan Lama, 02000 Kuala Perlis, Perlis.",Perlis,宗教,39,Malaysia
加央港口永安堂,Tokong Cina Eng Aun Keong,,"Batu 6 3/4, Jalan Besar, 02000 Kuala Perlis, Perlis.",Perlis,宗教,39,Malaysia
普济庙,Fo Chi Mooi,,"76, Pekan Simpang Empat, 02700 Simpang Empat Perlis.",Perlis,宗教,39,Malaysia
双弄那督庙,Dato Kong Kuala Sanglang,,"225, K Sanglang, Perlis.",Perlis,宗教,39,Malaysia
玻璃市州琼谊社,Kelab Kheng Yee The Perlis,,"Hotel Federel, 01000 Kangar, Perlis.",Perlis,体育联谊,39,Malaysia
赞美中心,Gospel Vision Consultant,,"No. 20, Jalan Cendana, Taman Kaki Bukit, 02200, Kaki Bukit Perlis.",Perlis,宗教,39,Malaysia
爪夷芭静安宫理事会,"Pertubuhan Pengurusan Rumah Berhala Cheng Aun Kong, Jejawi, Perlis",,"1168, Jalan Jejawi Permatang, 02600, Arau, Perlis.",Perlis,宗教,39,Malaysia
山神伯公庙,Tokong Cina Beseri Jaya,,"2841, Taman Beseri Jaya 02400,Perlis.",Perlis,宗教,39,Malaysia
玻璃市篮球总会,Persatuan Bola Keranjang Negeri Perlis,Perlis Basketball Association,"158, Taman Utara, Jejawi, 02600 Arau, Perlis.",Perlis,体育联谊,39,Malaysia
福德祠（巴东勿刹）,Hock Teik Soo Temple,,"C/O 31, Pekan Lama, 02100 Padang Besar, Perlis.",Perlis,宗教,39,Malaysia
玻州港口广万源公冢,Tanah Kubur Cho Kong Wan Teng (Orang Cina Mukim Kuala Perlis),,"Kampung Bukit Putih 02000 Kuala Perlis, Perlis.",Perlis,慈善福利,40,Malaysia
青运玻州分会,YMM Perlis,,"18, Jalan Sarawak, 02000, Kuala Perlis, Perlis.",Perlis,青年妇女,40,Malaysia
玻州十字港，新港公冢,Kubur China (Wan On),,"Kuala Sungai Baru 02700 Simpang Empat, Kayang, Perlis.",Perlis,慈善福利,40,Malaysia
玻璃市华人公冢理事会,Persatuan Perkuburan Orang-Orang Tionghwa Perlis,Perlis Chinese Public Cemetery Committee,"7, Jalan Indra Kayangan, 01000 Kangar, Perlis.",Perlis,慈善福利,40,Malaysia
吉玻州双弄华人公冢理事会,"JawatankuasaTanah Perkuburan Orang-Orang Kuala Sanglang, Kedah/Perlis",,"1178,1179 dan 1180 (Asal Lot 1081 & 1095) Negeri Perlis, Mukim Sanglang, Simpang Sanglang.",Perlis,慈善福利,40,Malaysia
青团运玻璃市州分会,Pertubuhan Gerakan Belia Bersatu Malaysia Bahagian Negeri Perlis,,"No.30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",Perlis,青年妇女,40,Malaysia
知知丁宜区小园主合作社,Koperasi Pekebun-Pekebun Kecil Mukim Titi Tinggi,,"115, Pekan Baru, 02200 Kaki Bukit Perlis.",Perlis,慈善福利,40,Malaysia
玻州加基武吉长江寮义务消防队,"Bomba Sukarela Pekan Sayur Kaki Bukit, Perlis",,"No.12, Pekan Sayur Kaki Bukit, Perlis.",Perlis,慈善福利,40,Malaysia
万和公冢,Perkuburan Wan Ho,,"Batu 1, Jalan Tambun Tulang, Simpang Empat, Kayang, Perlis.",Perlis,慈善福利,40,Malaysia
亚娄及新路公冢,Perkuburan Cina Arau / Pauh (Awan),,"Batu 11/2, Jalan Pauhz Kurong Anai, Perlis.",Perlis,慈善福利,40,Malaysia
浮罗交怡福建会馆,Pulau Langkawi Hokkien Association,,"217, Taman Langkawai, Mukim Kuahz 07000 Pulau Langkawi, Kedah.",Kedah,地缘,41,Malaysia
浮罗交怡海南会馆,Persatuan Hainan Langkawi Kedah,,"1 Pekan Kuah, 07000 Langkawi, Kedah.",Kedah,地缘,41,Malaysia
吉玻福莆仙同乡会,Kedah / Perlis Hock Phor Sean Association,,"40, Jalan Putra, 05100 Alor Star, Kedah.",Kedah,地缘,41,Malaysia
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia
吉玻惠安公会,Persatuan Hui Aun Kedah / Perlis,,"51. KLM. Kampong Perak, 05100 Alor Star, Kedah.  ",Kedah,地缘,41,Malaysia
吉玻潮州会馆,Persatuan Teochew Kedah / Perlis,,"27-B, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia
吉打州华人大会堂,Dewan Perhimpunan Cina Keda,Kedah Chinese Assembly Hall,"8, Jalan Tanjung Bendahara, 05300 Alor Setae Kedah.",Kedah,综合,41,Malaysia
吉玻惠州会馆,Persatuan Fui Chiu Kedah/Perlis Chen & Association,,"68 Komplek Alor Malai Batu 2, Jalang Langgar, 054460 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia
吉玻广西会馆,Perdatuan Kwang Sai Association,,"1 Jalan Petani, Sungai Petani, Kedah.",Kedah,地缘,41,Malaysia
双溪大年华人注册社团联合会,Gabungan Persatuan Orang-Orang China,Sungai Petani Kedah,"21 Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,综合,41,Malaysia
吉玻晋江会馆,Persatuan Chin Kang Kedah/Perlis,,"3B,C Tingkat 1, Jalan Gangsa, Seberang Jalan Putra, 05150 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉玻南安会馆,Persatuan Nan Ann Kedah/Perlis,The Nan Ann Association Kedah/Perlis,"169-D, Jalan Putra 05100 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉打中山公会,Persatuan Chung Sun,Chung Sun Association,"65, Jalan Putra 05100, Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉打永大会馆,Persatuan Yoon Thai,Yoon Thai Association,"99, Pekan China, 05000 Alor Setar, Kedah.",Kedah,地缘,42,Malaysia
吉打漳泉公所,Kedah Chang Chuan Kong Sor,,"190, Jalan Penjara Lama, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉打福建公会,Persatuan Hokkien Kedah,Kedah Hokkien Association,"189-191, (Tingkat Satu), Jalan Penjara Lama, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉打客家公会,Persatuan Hakka Kedah,,"2-B , Jalan Kampong Perak, 05100 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉玻台山会馆,Persatuan Orang Orang Toishan Kedah / Perlis Toishan Association Kedah And Perlis,,"2-C, Kampong Baru, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉打广东暨汀州会馆,Persatuan Kwangtung & Tengchow Kedah,,"24-A, Jalan Pengkalan Kapal 05000 Alor Setae Kedah.",Kedah,地缘,42,Malaysia
吉玻龙答同乡会,Persatuan Lungyen Kedah / Perlis,,"750, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",Kedah,地缘,42,Malaysia
吉打州福州会馆,Persatuan Foochow Kedah,Kedah Foochow Association,"785, Jalan Langgar, 05460 Alor Star, Kedah.",Kedah,地缘,42,Malaysia
吉南福建公会,Persatuan Hokkien Kedah Selatan,South Kedah Hokkien Association,"291, Jalan Pasar, 09000 Kulim, Kedah.",Kedah,地缘,42,Malaysia
吉南琼崖同乡会,Pert Thye Guang (Ong Si Choong Soo) Kedah/Perlis,,"70-L/M Taman Mahawangsa Seberang, Jalan Alor Setar, 05150 Kedah.",Kedah,地缘,43,Malaysia
吉玻关氏延陵堂,Pertubuhan Keturunan Goh' s(Ean Leng Tong),Kedah Perlis,"50 Taman Thean Peng Seberang, Jalan Putra, 05150 Alor Setae Kedah.",Kedah,血缘,43,Malaysia
吉玻嘉应会馆,Persatuan Kah Yin Kedah/Perlis,Kedah Perlis Kah Yin Association,"115, Jalan Langgar, 05460, Alor Star, Kedah.",Kedah,地缘,43,Malaysia
吉玻江夏堂黄氏宗祠,Persatuan Kang Har Tong (Ooi Si Chong Soo) Kedah / Perlis,,"10-G, Jalan Datuk Syed Omar, Seberang, Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,血缘,43,Malaysia
吉中客家公会,Persatuan Hakka Kedah Tengah,,"20 Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,地缘,43,Malaysia
吉中福建会馆,Hokkien Association Central Kedah,,"1G, 1st Floor, Jalan Kampung Baru, 08000 Sungai Petani, Kedah.",Kedah,地缘,43,Malaysia
吉南嘉应五属同乡会,Persatuan Kah Yin Kedah Selatan,,"52, Jalan Raya, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia
吉属高州会馆,Kedah Koh Chow Wooi Koon,,"287-M, Jalan Aman ,09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia
吉南广惠肇会馆,Persatuan Kwong Wai Slew Kedah Selatan,,"30, Jalan Raya, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia
吉南韩江公会,Persatuan Hang Kang Kedah Selatan ,,"29 Jalan Ray, Kulim, Kedah.",Kedah,地缘,43,Malaysia
吉南客家公会,Persatuan Kaum Orang-Orang Hakka Kedah Selatan,South Kedah Hakka Community Association,"1125-1126, Lorong Belibis 1/1, Taman Tunku Putra, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia
吉玻王氏太原堂,Pertubuhan Thye Guan Tong (Ong Si Chong Soo),Kedah / Perlis,"70-L & 70-M, Taman Mahawangsa, Seberang Jalan Putra, 05150 Alor Setar, Kedah,",Kedah,血缘,44,Malaysia
吉玻谢氏宗亲会,Persatuan Cheah Kedah/Perlis,,"23 Tingkat 1, Jalan Tunku Yaakub, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻刘关张赵古城会,Persatuan Liu Guan Zhang Zhao Gu Cheng Hui,Kedah / Perlis,"168, Lebuhraya Sultan Abdul Halim, 05400 Alor Star, Kedah.",Kedah,血缘,44,Malaysia
吉玻施氏公会,Persatuan See Kedah/Perlias,,"173-B Taman Sri Tandop, Jalan Lencong Barat Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻四美堂庄氏宗祠,Pertubuhan Soo Bee Tong Ch' ng Si Chong Soo Kedah Dan Perlis(1992),,"111 Jalan Pekan Melayu, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻孙氏宗祠,Persatuan Suku Kaum Soon Shi Zong Ci Kedah/Perlis,Indera Kayangan,"99 Jalan Kundor, 05400 Alor Setar, Kedah. ",Kedah,血缘,44,Malaysia
吉玻辛柯蔡宗祠,"Sin Quah Chuah Chong Soo, Kedah / Perlis",,"737, Lebuh Raya Darulaman 05100, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻梁氏宗亲会,"Persatuan Kebajikan Liang Kedah / Perlis,",,"2536 Tingkat 1, Kompleks Pumpang, Pekan Pumpong, 05250 Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻陇西堂,Persatuan Leong Say Tong Kedah/Perlis,,"6 Lorong Suka Ramai, Bakar Bata, 05100 Alor Star, Kedah.",Kedah,血缘,44,Malaysia
吉玻龙山堂曾氏公会,Persatuan Loong Sun Tong Kedah/Perlis,,"192 Batu 5, Taman Bersatu Simpang Empat, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia
吉玻苏许连宗祠,Persatuan Saw Khaw Lean Kedah / Perlis,,"88, Batu 6, Simpang Empat, 06650 Alor Star, Kedah.",Kedah,血缘,44,Malaysia
吉玻缝业公会,Persatuan Tukang-Tukang Jahit Negeri Kedah /Perlis,,"82, Seberang Jalan Putra 05150 Alor Setar, Kedah.",Kedah,业缘,45,Malaysia
吉玻郑氏英阳堂,"Persatuan The Si Eng Eong Tong Kedah, Perak",,"33,  Jalan Biru 2, Kg Berjaya Sag Jalan Putra, 05150 A/S Kedah.",Kedah,血缘,45,Malaysia
吉玻电单车汽车商暨银业公会,Persatuan Peniaga Kenderaan Bermotor / Kereta Terpakai Dan Kewangan,,"307, Jalan Tengah, Off Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,业缘,45,Malaysia
吉打九龙堂林姓公会,Persatuan Um Kew Leong Tong Kedah Darul Aman  ,Lim Association Kew Leong Tong,"4-A, Kampong Perak, 05100 Alor Setar, Kedah.",Kedah,血缘,45,Malaysia
吉玻庄严同宗会,Persatuan Zhuang/Yam Kedah Dan Perlis,,"4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setan Kedah.",Kedah,血缘,45,Malaysia
吉打嘉和俱乐部,Kelab Rekrasi Kah Who Kedah,,"73-B, Tingkat 2, Komplek Jalan Nagor, 05000 Alor Star, Kedah.",Kedah,血缘,45,Malaysia
吉玻陈氏颖川堂,Tan Si Eng Chuan Tong Kedah Perlis,,"666-B, Lorong Tangki Limbong Kapal, 05000 Alor Star, Kedah.",Kedah,血缘,45,Malaysia
吉北华人摩多工人公会,,North Kedah Chinese Motor Workers Association,"8 Jalan Kanchut, Alor Setar, Kedah.",Kedah,业缘,45,Malaysia
吉中李氏宗亲会,Pertubuhan Lee Sih Chong Soo Kedah Tengah,,"5, Hadapan Sek. Men. Che Tom, Jalan Bakar Arang, 08000 Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia
吉玻当商公会,Pertubuhan Pengusaha Pajak Gadai Kedah ,,"1 Jalan Petani, Sungai Petani, Kedah.",Kedah,业缘,45,Malaysia
吉中林氏宗祠,Persatuan Um See Chong Soo,,"5-G Jalan Kampong Baru 08000, Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia
吉中忠顺世家,Tiong Soon See Kah Kedah Tengah,,"739-B, Jalan Bakar Sampah, 08000 Sungai Petani, Kedah.",Kedah,血缘,45,Malaysia
吉玻机械及车辆零件商会,,Kedah Perlis Spare Parts Dealers Association,"25, 1st Floor, Seberang Jalan Putra, 05150 Alor Star, Kedah.",Kedah,业缘,46,Malaysia
吉打华巫米较公会,Persatuan Pengilang-Pengilang Beras Cina Melayu Kedah.,,"121-A&B, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉打华商咖啡公会,Persatuan Kedai-Kedai Kopi China Kedah,Kedah Chinese Shopkeepers Association,"169 E & F, Jalan Putra 05100 Alor Star, Kedah.",Kedah,业缘,46,Malaysia
吉打屠业公会,,Persatuan Peniaga Dan Penyembelih Babi Kedah,"20-A, Taman Berjaya, Jalan Pengawal, 05050 Alor Star, Kedah.",Kedah,业缘,46,Malaysia
吉玻汽车修理工商公会,,Persatuan Auto Mobil Workshop Kedah / Perlis,"212 C, Medan Putra, Sbg Jalan Putra, 05150 Alor Setar Kedah.",Kedah,业缘,46,Malaysia
吉打菜业公会,Persatuan Peniaga-Peniaga Sayur Negeri Kedah,,"S15 Pasar Pemborong Sayur Syarikat Saudagar-Saudagar Ikan (K) Sdn. Bhd. Sbg, Jalan Putra, Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉打什货商公会,Persatuan Peniaga Am Kedah,Kedah General Merchants' Association,"2190, 1st Floor, Lorong Kemuning Seberang Perak, 05400 Alor Star, Kedah.",Kedah,业缘,46,Malaysia
吉玻金钻珠宝公会,Persatuan Perniagaan Emas Dan Permata Kedah / Perlis,,"2203-K Tingkat Satu, Seberang Perak, 05050 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉玻米较公会,Persatuan Pengilang-Pengilang Beras,Kedah & Perlis Kedah & Perlis Rice Millers Association,"400 (2nd) Floor, Jalan Pintu Sepuluh, 05000 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉打华人生果同业公会,,Kedah Chinese Furniture Association,"72-B, Jalan Nagor, 05000 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉玻摄影公会,,The Kedah Perlis Photo Graphers Association,"A-17, Jalan Saga Ria, Taman Saga, 05400 Alor Setar, Kedah.",Kedah,业缘,46,Malaysia
吉玻家电商公会,Persatuan Peniaga Alat-Alat Elektrikal Dometik Kedah / Perlis,,"186, Tingkat 2, Shahab Perdana, Jalan Shahab Perdana 5, Jalan Sultanah Sembungan, 05350 Alor Star, Kedah.",Kedah,业缘,46,Malaysia
吉打鱼商公会,,Kedah Fish Merchants Association,"37-R, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia
吉打州拖车及修车公会,Persatuan Pemilik Kereta Penunda Dan Membaiki,,"4A, Baru 2, Seberang Jalan Putra Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia
吉打州修车公会,Persatuan Pemilik Bengkel Kenderaan Negeri Kedah,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia
吉打州枝职文凭公会,Persatuan Pemilik Sijil Kemahiran Malaysia Negeri Keda,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia
吉打州家私同业公会,Persatuan Pembuat-Pembuat Dan Peniaga-Peniaga Perabot Negeri Kedah,,"228 &229 (Tingkat Atas), Kawasan Perusahaan Tandop Baru, 05050 Alor Star, Kedah.",Kedah,业缘,47,Malaysia
吉打小贩商业公会,Persatuan Penjaja-Penjaja Kedah,,"51, S&T,  Jalan Kampong Perak, 05100 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia
吉礁建筑商暨建筑材料商公会,Persatuan Pemborong-Pemborong Dan Pembekal- Pembekal Barang-Barang Bangunan Kedah,,"169-A&B, Jalan Kampong Perak, 05100 Alor Star, Kedah.",Kedah,业缘,47,Malaysia
吉打州米商公会,Pertubuhan Peniaga-Peniaga Bekas Negeri Kedah,,"46-A, Kompleks Sukan Muazam Shah, Lebuhraya Sulfan Abdul Halim, 05400 Alor Star, Kedah.",Kedah,业缘,47,Malaysia
吉打中华工商总会,Dewan Peniangaan Dan Perindustrian Tiong Hua,Kedah Chinese Chamber Of Commerce Industry,"749, 1st Floor, Lebuhraya Darul Aman, 05100 Alor Star, Kedah.",Kedah,业缘,47,Malaysia
吉中咖啡公会,Persatuan Pemilik Kedai Kopi Kedah Tengah ,Central Kedah Coffee Shop Owners' Association,"6, Jalan Petri, 08000 Sungai Petani, Kedah.",Kedah,业缘,47,Malaysia
吉打州柴炭商公会,Persatuan Peniagaan Kayu Api & Arang Negeri Kedah,,"13-C Taman Aman Kg. Baru, 08000 Sungai Petani, Johor.",Kedah,业缘,47,Malaysia
吉中小贩商业公会,Persatuan Panjaja-Panjaja Kedah Tengah,,"55-N, Jalan Sekarat 08000 Sungai Petani, Kedah.",Kedah,业缘,47,Malaysia
吉州学生车公会,Persatuan Operator Bas Bas Sekolah Negeri Kedah,,"2500(Tingkat1) Kompleks Tunku Yaacob, Jalan Lebuhraya Darulaman, 05100 Alor Star, Kedah.",Kedah,业缘,48,Malaysia
吉玻日间师训同学会,Persatuan Guru-Guru Lepasan DTC Kedah Perlis,,"180, Taman Sri Ampang, Jalan Kenanga 11 05050 Alor Star, Kedah.",Kedah,文教,48,Malaysia
亚罗士打建造业,Kin Cho Hong Alor Setar,,"3, Jalan Tunku Abdul Rahman Putra, (Jalan Putra), 05100 Alor Star, Kedah.",Kedah,业缘,48,Malaysia
吉北华校教师公会,Persatuan Guru-Guru Sekolah Cina Kedah Utara,North Kedah Chinese School Teachers Association,"25B, Jalan Alor Semadom, 05250 Alor Setar, Kedah.",Kedah,文教,48,Malaysia
树胶商公会(古邦巴素),Persatuan Peniaga-Peniaga Getah Kubang Pasu Kedah,,"854 Jalan Masjid, Kubang Pasu, Kedah.",Kedah,业缘,48,Malaysia
吉玻校长职工会,KKGGBM Cawangan Kedah / Perlis,,"SJK(C) Sin Min A, Jalan Pegawai, 08000 Sungai Petani, Kedah.",Kedah,文教,48,Malaysia
吉玻留台同学会,Persatuan Siswazah-Siswazah Taiwan Kedah Perlis,,"1, Lorong 23, Taman Patani Jaya, 08000 Sungai Petani Kedah.",Kedah,文教,48,Malaysia
潮商公会,Persatuan Saudagar-Saudagar Teochew Sungai Petani,,"136-C, Taman Bersatu, 08000 Sungai Petani, Kedah.",Kedah,业缘,48,Malaysia
双溪大年建造行,Persatuan Kin Cho Hong,,"584, Jalan Kuala Ketil, 08000 Sungai Petani, Kedah.",Kedah,业缘,48,Malaysia
吉中中华工商联合会,Persatuan Perniagaan & Perindustrian Cina Kedah Tengah ,The Chinese Chamber Of Commerce&Industry Of Central Kedah,"143, 1st Floor, Jalan Kelab Cinta Sayang, Taman Ria Jaya, 08000 Sungai Petani, Kedah.",Kedah,业缘,48,Malaysia
南吉打中华商会,Dewan Perniagaan Tionghoa Kedah Selatan,South Kedah Chinese Chamber Of Commerce,"1190, Lorong Bebilis 1/1, Taman Tunku Putra, 09000 Kulim, Kedah.",Kedah,业缘,48,Malaysia
吉玻種灵校友会,"Persatuan Alumni ChungLing, Kedah/Perlis",,"7-A, Lorong Lintang, 05200 Alor Star, Kedah.",Kedah,文教,49,Malaysia
吉打十字港益民校友会,Persatuan Murid-Murid Tua Yih Min,,"295, Taman Orkid Simpang Empat, 06650 Alor Star, Kedah.",Kedah,文教,49,Malaysia
吉打华校董联会,Persatuan Lembaga-Lembaga Pengurus Sekolah Cina Keday,"United Chinese School Comm, Associtaion of Kedah","D/A Sekolah Menengah Persendirian Sin Min No 1, Jalan Alor Mengkudu, 05400 Alor Setar, Johor.",Kedah,文教,49,Malaysia
吉打竹城明新校友会,Persatuan Bekas Murid Sekolah Min Sin Kota Sarang Semut Alor Star,,"SRJK(C) Min Sin Kota Sarang Semut, 06800 Alor Star, Kedah.",Kedah,文教,49,Malaysia
吉中华校教师会,Persatuan Guru-Guru Sek Cina Kedah Tengah,,"SJK(C) TaiTong, Taman Kempas Sg. Pasir, 08000 Sungai Petani, Kedah.",Kedah,文教,49,Malaysia
吉打双溪大年新民校友会,Persatuan Murid Murid Tua Sin Min Sungai Petani Kedah,,"10, Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,文教,49,Malaysia
吉大韩江校友会,Persatuan Bekas Murid Han Chiang Kedah,Penang Han Chiang School Ex-Pupils'  Kedah Association,"46(3/F) Jalan Pengkalan, Taman Pekan Baru, 08000 Sungai Petani, Kedah.",Kedah,文教,49,Malaysia
吉南鲁乃华民校友会,"Persatuan Bekas Murid-Murid Sekolah Hwa Min, Lunas Kedah",,"285, Tingkat Atas, Jalan Desa Makmur 3, Taman Desa Makmur, 09600 Lunas, Kedah.",Kedah,文教,49,Malaysia
吉打华校校友会联合会,Gabungan Persatuan-Persatuan Bekas Palajar Sekolah Negeri Kedah,,"271, Taman Keranji 2, 09000 Kulim, Kedah.",Kedah,文教,49,Malaysia
吉南觉民校友会 .,"Persatuan Murid-Murid Lepasan Sekolah Chio Min, Kedah Selatan",,"271 Taman Keranji 2, 09000 Kulim, Kedah.",Kedah,文教,49,Malaysia
吉南华校教师公会,Persatuan Guru-Guru Sekolah Cina Kedah Selatan,,"D/A SJK(C) Chio Min B' , 09000 Kulim, Kedah. ",Kedah,文教,49,Malaysia
吉打波各先那同育校友会,Persatuan Murid-AAurid Tua SRJK (C) Tong Yuh PokokSena Kedah,,"181A, Lorong 4 Kiri, 06400 Pokok Sena, Kedah.",Kedah,文教,49,Malaysia
亚罗士打新民校友会,Persatuan Murid-Murid Tua Sin Min,,"C/O Weng Yick Brothers Furniture . 55Q, Jalan Telok Wanjah, 05200 Alor Setar, Kedah.",Kedah,文教,50,Malaysia
亚罗士打平民校友会,Persatuan Murid-Murid Tua Peng Min,,"Sekolah RJK (C) Peng Min Bee Bee Park, 05400 Alor Setar, Kedah.",Kedah,文教,50,Malaysia
亚罗士打滂滂校友会,"Persatuan Bekas Pelajar SJK (C) Pumpong
Sekolah Jenis Kebangsaan (C) Pumpong",,"Jalan Bakar Bata, 05250 Alor Star, Kedah.",Kedah,文教,50,Malaysia
亚罗士打吉华校友会,Persatuan Murid-Murid Tua Keat Hwa,,"1785, Jalan Telok Wanjah, 05200 Alor Star, Kedah.",Kedah,文教,50,Malaysia
亚罗士打启智校友会,Persatuan Bekas Pelajar SRJK (C) Kee Chee,,"Batu 2, Jalan Langgar, 05460 Alor Setar, Kedah.",Kedah,文教,50,Malaysia
